-,co,el,ht,be,ny,cy,hr,uk,ha,ja,lo,yo,km,sw,tg,zh-CN,no,pt,jw,uz,sq,af,is,sn,lb,xh,sk,haw,hy,la,ku,si,ne,mi,fy,bn,tl,sv,es,pa,yi,eo,gu,da,de,ka,lt,fa,iw,sm,gd,te,ceb,kk,pl,ru,vi,am,my,bg,mt,eu,zh-TW,ms,hi,kn,lv,gl,et,ig,su,th,sl,ky,ar,ml,so,ca,ko,ps,hmn,ur,sr,ro,cs,nl,tr,mk,bs,id,ga,ta,zu,sd,mn,st,it,az,fr,mr,fi,hu,mg,,
sw,39,37,54,53,127,48,37,37,72,30,72,53,97,0,84,29,30,29,53,71,40,37,50,88,52,97,34,56,43,34,32,47,68,85,38,56,53,35,30,55,29,39,50,34,41,44,44,45,37,86,70,38,61,51,29,44,52,74,36,44,41,37,29,69,53,61,46,40,45,61,42,45,48,26,29,44,89,47,37,69,77,62,35,33,42,32,49,52,38,52,39,55,107,43,78,100,29,56,26,63,34,37,77,44,
tg,41,51,55,53,54,43,55,53,56,40,72,43,64,84,0,50,30,37,49,93,51,37,48,46,58,78,33,47,68,18,44,45,65,60,48,51,40,37,42,53,25,48,49,36,47,51,69,59,41,60,63,44,51,81,35,57,50,68,39,60,45,41,50,62,43,54,51,43,47,42,39,41,64,26,36,48,81,38,44,90,63,59,41,45,42,30,64,65,52,59,35,40,62,46,84,60,40,75,37,59,45,55,61,51,
zh-CN,25,36,41,30,30,30,31,31,31,52,39,22,60,29,50,0,22,23,36,42,29,34,39,24,25,33,34,17,30,14,17,32,40,34,30,50,34,26,33,50,17,32,36,33,39,29,39,43,39,29,38,30,24,48,32,34,46,42,32,30,32,26,424,41,32,36,23,34,30,23,38,31,35,21,26,23,41,21,41,46,33,41,27,25,42,31,44,35,31,50,27,35,26,34,47,23,36,32,25,42,39,32,35,7,
no,14,38,24,37,20,23,35,38,18,20,28,16,29,30,30,22,0,34,19,35,29,33,31,18,30,20,27,18,34,19,12,20,26,23,37,23,21,53,29,29,20,29,23,72,44,21,24,26,32,21,26,23,26,34,37,30,19,45,30,31,24,17,22,29,26,26,32,32,25,14,37,31,29,13,20,17,30,32,18,29,15,30,25,28,40,23,30,30,34,32,17,26,30,20,29,24,23,35,31,23,38,34,28,2,
pt,41,40,43,35,23,23,38,36,19,24,27,18,25,29,37,23,34,0,19,36,41,30,21,15,33,25,23,15,34,14,9,18,30,16,28,26,20,29,76,25,21,55,19,27,39,33,37,25,26,28,25,22,28,43,36,34,21,31,17,45,35,38,23,30,22,27,32,81,21,19,29,27,34,15,29,18,30,65,21,28,26,34,37,45,37,30,38,41,41,33,19,26,30,21,30,25,61,36,55,27,38,37,34,6,
jw,27,25,59,31,53,34,29,34,46,29,69,31,83,53,49,36,19,19,0,47,27,25,39,33,41,45,29,29,34,24,28,36,47,52,26,41,45,34,22,41,24,25,35,24,30,32,37,33,27,60,38,19,40,37,18,22,47,44,30,23,32,29,36,124,27,36,34,27,35,43,47,29,42,14,23,26,41,27,24,62,49,41,32,21,38,25,41,32,46,91,28,35,39,37,80,35,19,27,26,46,26,32,69,12,
uz,32,50,47,70,62,45,48,50,41,41,61,39,68,71,93,42,35,36,47,0,50,32,58,48,45,64,47,42,79,20,24,44,62,53,34,57,47,43,42,66,31,40,50,33,47,62,92,61,50,60,45,49,54,129,42,52,44,64,46,57,34,44,42,63,42,58,69,44,67,54,38,49,62,42,39,48,71,45,40,69,42,59,56,39,43,30,72,55,52,58,36,46,66,49,93,58,36,129,30,64,42,53,52,48,
sq,39,49,46,62,36,36,48,44,34,18,36,25,38,40,51,29,29,41,27,50,0,41,46,19,41,36,40,20,41,26,14,26,39,33,41,47,26,32,48,27,21,43,25,30,37,35,36,37,35,39,36,29,46,48,48,45,26,42,26,48,59,37,29,38,36,35,37,60,33,22,40,29,46,20,29,19,42,44,23,33,22,35,35,50,41,38,45,55,44,42,31,50,28,24,51,29,44,38,43,28,36,47,36,9,
af,22,39,35,52,34,35,38,38,36,26,29,23,40,37,37,34,33,30,25,32,41,0,44,25,42,31,36,22,41,27,14,31,37,32,45,32,36,29,29,32,22,29,27,35,43,41,34,30,32,34,31,28,30,37,31,34,33,32,26,35,44,26,34,43,27,35,25,32,27,32,34,25,43,13,25,22,34,31,24,30,25,30,33,28,43,50,37,38,41,43,32,35,38,25,33,35,31,36,34,28,37,32,40,2,
is,29,43,45,56,33,42,36,35,43,29,56,28,65,50,48,39,31,21,39,58,46,44,0,30,43,35,40,29,43,22,21,39,50,37,28,54,40,42,25,49,28,31,42,38,50,44,37,44,40,55,45,46,59,49,43,35,41,46,37,38,55,36,39,54,48,54,33,37,36,39,34,29,55,20,34,28,51,30,26,41,31,44,35,26,47,32,40,40,34,52,45,57,39,39,48,37,29,45,35,48,39,42,55,18,
sn,30,27,36,30,150,33,26,28,54,31,45,41,46,88,46,24,18,15,33,48,19,25,30,0,32,116,37,46,36,20,29,49,44,53,30,45,40,20,23,43,17,30,30,19,22,36,52,33,25,57,40,32,35,45,10,21,31,52,26,23,22,30,24,48,30,44,33,25,46,56,27,28,30,23,26,36,69,25,24,57,45,37,25,25,22,20,32,35,22,29,26,34,118,51,52,115,21,38,19,41,19,20,61,16,
lb,31,36,58,42,47,34,40,48,34,23,57,23,56,52,58,25,30,33,41,45,41,42,43,32,0,40,28,33,45,19,27,21,37,42,50,29,31,34,41,32,30,42,26,37,56,38,42,25,33,45,47,19,41,59,30,42,36,40,27,39,35,39,25,47,28,35,46,47,42,35,36,26,62,22,25,24,43,41,21,38,25,40,35,45,46,43,30,51,41,45,27,26,46,34,60,40,34,40,37,26,34,32,49,11,
xh,29,36,41,36,120,41,35,35,79,42,61,53,50,97,78,33,20,25,45,64,36,31,35,116,40,0,30,52,39,30,47,54,59,74,32,52,48,24,27,46,24,34,42,22,30,41,54,43,40,80,78,45,47,57,23,25,41,73,31,32,36,37,33,55,42,51,34,32,44,73,39,45,43,28,27,42,84,35,40,84,63,52,28,28,32,30,49,37,35,46,36,44,229,57,71,109,30,41,23,45,29,30,68,31,
sk,30,38,25,50,38,22,38,30,29,25,39,19,40,34,33,34,27,23,29,47,40,36,40,37,28,30,0,33,45,28,26,41,32,28,26,33,25,29,24,38,24,20,21,25,29,47,73,41,38,30,27,35,36,40,37,46,20,46,36,30,32,22,34,41,35,44,61,24,54,27,34,25,45,47,27,36,41,25,24,39,23,36,79,33,69,19,38,40,32,27,22,32,32,34,41,25,32,35,30,31,36,27,32,6,
haw,23,20,25,31,66,18,35,25,51,16,41,42,41,56,47,17,18,15,29,42,20,22,29,46,33,52,33,0,27,24,39,23,32,109,18,32,36,24,15,38,21,26,35,17,17,30,42,28,15,85,49,24,38,31,14,22,32,52,21,21,26,19,17,35,37,37,39,24,38,54,22,24,28,19,17,32,49,22,17,47,61,37,28,20,23,22,34,29,30,26,24,27,49,35,41,60,17,36,20,26,21,19,43,10,
hy,36,45,45,69,45,40,49,54,38,36,42,27,51,43,68,30,34,34,34,79,41,41,43,36,45,39,45,27,0,24,34,35,60,35,29,49,39,37,38,58,26,37,44,36,36,79,89,51,45,36,34,34,37,83,43,53,41,53,43,62,41,38,30,69,53,57,65,43,79,34,25,38,60,36,40,53,59,43,22,68,49,61,59,38,44,40,41,68,56,47,33,40,40,41,70,35,34,74,32,45,36,39,49,29,
la,18,19,24,26,28,13,25,17,28,12,17,16,23,34,18,14,19,14,24,20,26,27,22,20,19,30,28,24,24,0,21,30,24,30,19,20,24,16,22,24,16,17,17,18,19,27,20,23,21,38,22,23,23,25,21,22,18,24,13,22,22,22,14,27,27,22,19,24,25,25,22,24,24,14,16,25,25,22,14,21,27,23,21,23,22,16,22,22,19,26,14,32,20,16,29,27,16,13,21,17,20,17,29,0,
ku,21,19,27,20,47,25,22,18,41,16,40,23,43,32,44,17,12,9,28,24,14,14,21,29,27,47,26,39,34,21,0,25,55,45,26,37,17,13,14,24,13,15,22,14,20,33,42,25,25,41,31,20,31,32,12,18,27,40,17,13,18,22,17,33,38,33,38,13,49,29,27,16,23,32,15,31,36,17,8,58,41,46,34,17,16,17,22,18,18,28,14,17,41,60,33,30,12,26,12,25,18,13,32,3,
si,23,35,37,34,46,31,32,25,40,33,46,35,62,47,45,32,20,18,36,44,26,31,39,49,21,54,41,23,35,30,25,0,57,42,23,53,45,33,19,59,21,21,39,25,29,46,47,41,35,52,40,51,42,42,22,31,42,51,29,28,36,32,32,51,56,55,37,22,53,36,26,39,38,25,37,43,49,25,25,62,38,61,37,29,31,21,36,33,34,46,38,47,57,53,60,44,16,30,20,40,35,32,44,17,
ne,26,38,49,44,49,37,41,37,45,36,62,36,73,68,65,40,26,30,47,62,39,37,50,44,37,59,32,32,60,24,55,57,0,52,29,92,51,35,33,111,27,35,88,38,46,54,63,58,32,55,47,50,36,55,32,38,55,64,28,37,35,40,40,76,106,84,48,33,59,46,40,47,48,27,40,57,66,35,32,107,54,98,39,29,38,27,55,45,41,59,37,67,54,94,68,56,33,61,34,107,44,36,46,41,
mi,38,37,49,42,80,36,31,32,84,26,61,72,67,85,60,34,23,16,52,53,33,32,37,53,42,74,28,109,35,30,45,42,52,0,26,47,47,26,17,54,36,29,35,28,31,25,29,38,31,112,65,33,54,51,23,24,41,61,27,34,35,32,34,55,50,32,28,25,28,86,43,40,40,13,25,33,84,28,37,66,69,44,34,31,35,25,43,35,40,45,42,39,71,45,60,72,25,34,23,38,27,34,64,29,
fy,27,41,37,42,38,29,39,35,29,18,28,26,32,38,48,30,37,28,26,34,41,45,28,30,50,32,26,18,29,19,26,23,29,26,0,29,21,31,31,23,21,41,19,38,46,29,36,31,32,28,34,26,26,32,21,24,30,41,21,31,34,24,30,36,23,30,26,34,23,33,43,18,44,17,15,18,38,39,26,34,24,20,30,31,35,49,31,30,34,42,20,27,30,25,46,36,27,35,29,22,33,21,34,1,
bn,25,35,54,40,58,50,37,37,51,23,73,43,87,56,51,50,23,26,41,57,47,32,54,45,29,52,33,32,49,20,37,53,92,47,29,0,52,34,27,99,23,25,79,24,25,54,59,45,35,54,47,37,42,48,22,31,47,55,32,35,29,30,50,70,76,80,47,32,44,56,43,52,46,23,40,42,64,30,34,60,43,68,32,30,27,24,39,43,36,51,33,57,59,57,62,49,29,46,18,100,37,30,67,37,
tl,28,27,56,31,48,34,36,32,48,27,62,32,76,53,40,34,21,20,45,47,26,36,40,40,31,48,25,36,39,24,17,45,51,47,21,52,0,29,21,46,28,25,30,26,28,37,41,29,28,59,42,32,70,48,26,29,31,46,29,38,28,26,34,75,33,48,26,35,27,45,30,46,46,12,25,32,62,26,22,47,41,36,28,24,32,28,30,40,42,55,27,36,52,32,73,42,20,28,20,39,35,23,58,14,
sv,22,42,48,42,28,30,46,41,26,24,44,18,46,35,37,26,53,29,34,43,32,29,42,20,34,24,29,24,37,16,13,33,35,26,31,34,29,0,32,39,35,34,25,62,38,30,27,28,31,33,26,27,37,39,46,42,27,31,20,37,34,30,26,41,32,35,34,40,29,23,26,33,42,12,28,22,35,40,26,37,20,27,37,31,47,38,39,46,44,47,25,26,29,24,44,22,34,32,43,28,56,36,39,3,
