-,co,el,ht,be,ny,cy,hr,uk,ha,ja,lo,yo,km,sw,tg,zh-CN,no,pt,jw,uz,sq,af,is,sn,lb,xh,sk,haw,hy,la,ku,si,ne,mi,fy,bn,tl,sv,es,pa,yi,eo,gu,da,de,ka,lt,fa,iw,sm,gd,te,ceb,kk,pl,ru,vi,am,my,bg,mt,eu,zh-TW,ms,hi,kn,lv,gl,et,ig,su,th,sl,ky,ar,ml,so,ca,ko,ps,hmn,ur,sr,ro,cs,nl,tr,mk,bs,id,ga,ta,zu,sd,mn,st,it,az,fr,mr,fi,hu,mg,,
my,21,25,32,34,39,16,27,27,37,20,40,23,45,36,39,32,30,17,30,46,26,26,37,26,27,31,36,21,43,13,17,29,28,27,21,32,29,20,21,32,21,23,23,19,22,29,27,33,24,31,32,31,35,41,25,19,22,36,0,24,22,29,32,43,32,34,26,24,33,22,30,28,35,27,19,27,43,25,22,39,27,39,23,25,28,19,30,28,26,35,25,34,31,27,45,31,22,29,21,34,27,22,39,0,
bg,31,54,38,58,36,30,64,64,35,31,31,20,40,44,60,30,31,45,23,57,48,35,38,23,39,32,30,21,62,22,13,28,37,34,31,35,38,37,44,32,36,48,19,41,50,59,59,43,41,37,39,29,35,63,43,64,25,47,24,0,37,37,30,44,33,38,50,48,36,22,28,34,63,19,35,27,42,40,23,38,30,29,58,45,47,35,47,80,70,37,35,31,32,30,59,29,42,55,38,31,46,49,33,19,
mt,37,42,47,62,34,30,36,35,34,22,44,23,45,41,45,32,24,35,32,34,59,44,55,22,35,36,32,26,41,22,18,36,35,35,34,29,28,34,34,37,25,38,32,29,38,33,34,34,28,35,30,28,40,43,35,32,27,46,22,37,0,26,32,40,33,32,29,48,19,24,30,27,36,13,31,23,39,47,20,37,31,33,31,42,40,34,44,37,34,37,23,44,33,19,44,30,41,40,41,30,36,38,34,3,
eu,50,40,44,28,34,29,30,25,33,24,40,20,57,37,41,26,17,38,29,44,37,26,36,30,39,37,22,19,38,22,22,32,40,32,24,30,26,30,50,31,20,45,24,25,23,36,51,26,28,36,42,25,31,40,26,22,28,26,29,37,26,0,26,45,36,37,32,56,42,22,21,31,37,17,18,26,43,54,25,36,34,32,29,30,25,27,39,38,37,35,25,25,37,30,51,29,38,39,36,26,25,25,53,8,
zh-TW,25,36,41,30,30,30,31,31,31,52,39,22,60,29,50,424,22,23,36,42,29,34,39,24,25,33,34,17,30,14,17,32,40,34,30,50,34,26,33,50,17,32,36,33,39,29,39,43,39,29,38,30,24,48,32,34,46,42,32,30,32,26,0,41,32,36,23,34,30,23,38,31,35,21,26,23,41,21,41,46,33,41,27,25,42,31,44,35,31,50,27,35,26,34,47,23,36,32,25,42,39,32,35,7,
ms,41,40,78,44,53,44,45,47,48,39,98,40,116,69,62,41,29,30,124,63,38,43,54,48,47,55,41,35,69,27,33,51,76,55,36,70,75,41,34,74,33,34,50,38,42,43,46,52,46,70,56,40,42,70,35,38,60,58,43,44,40,45,41,0,47,59,51,42,45,44,52,42,63,26,35,37,78,44,33,72,55,61,48,27,45,31,62,52,52,110,47,43,58,49,104,41,39,48,30,67,42,41,86,40,
hi,32,45,42,44,50,35,29,32,42,39,41,26,44,53,43,32,26,22,27,42,36,27,48,30,28,42,35,37,53,27,38,56,106,50,23,76,33,32,24,85,23,35,63,31,35,42,51,56,36,52,50,45,42,44,34,38,40,58,32,33,33,36,32,47,0,68,40,31,58,46,27,39,33,27,39,51,56,33,33,61,51,68,36,35,37,33,53,35,32,47,36,43,38,63,50,33,27,43,29,73,41,28,39,25,
kn,24,40,37,44,52,44,37,37,45,30,57,35,76,61,54,36,26,27,36,58,35,35,54,44,35,51,44,37,57,22,33,55,84,32,30,80,48,35,26,80,24,25,85,35,26,64,66,47,44,52,49,72,40,55,25,33,43,66,34,38,32,37,36,59,68,0,53,35,69,40,25,42,53,33,27,71,66,34,33,75,51,72,39,30,31,28,43,49,44,50,35,59,54,63,54,48,36,60,27,97,48,37,55,38,
lv,33,30,38,52,38,32,51,57,27,31,42,24,42,46,51,23,32,32,34,69,37,25,33,33,46,34,61,39,65,19,38,37,48,28,26,47,26,34,36,53,20,43,45,24,41,79,158,45,31,31,33,28,31,69,30,54,29,40,26,50,29,32,23,51,40,53,0,51,163,37,20,32,55,58,47,54,40,46,19,45,34,55,71,36,33,41,28,64,40,37,31,33,45,45,54,38,37,48,35,40,32,30,36,24,
gl,69,52,56,47,38,44,44,43,41,29,34,28,43,40,43,34,32,81,27,44,60,32,37,25,47,32,24,24,43,24,13,22,33,25,34,32,35,40,102,34,27,83,30,39,45,39,55,37,40,46,46,26,34,45,49,37,34,37,24,48,48,56,34,42,31,35,51,0,42,30,29,42,54,18,24,17,45,144,26,42,27,41,45,58,42,45,47,53,56,45,31,32,36,23,52,36,62,41,63,31,40,44,41,18,
et,29,30,35,43,45,30,41,43,31,35,29,25,47,45,47,30,25,21,35,67,33,27,36,46,42,44,54,38,79,25,49,53,59,28,23,44,27,29,28,48,17,26,39,29,27,87,190,44,40,43,29,38,20,66,26,41,28,42,33,36,19,42,30,45,58,69,163,42,0,29,21,30,54,50,36,69,54,38,14,57,50,61,79,42,26,29,31,53,49,31,32,34,53,64,52,39,25,54,29,52,29,31,32,25,
ig,21,22,36,38,82,26,26,29,80,23,48,81,47,61,42,23,14,19,43,54,22,32,39,56,35,73,27,54,34,25,29,36,46,86,33,56,45,23,18,40,22,29,42,16,27,29,41,43,23,91,48,38,51,36,15,25,36,55,22,22,24,22,23,44,46,40,37,30,29,0,39,41,44,17,25,41,63,25,26,52,63,35,26,23,25,21,31,30,32,39,25,41,69,41,56,81,24,36,19,36,27,23,64,20,
su,18,31,37,45,40,26,35,40,43,25,46,29,39,42,39,38,37,29,47,38,40,34,34,27,36,39,34,22,25,22,27,26,40,43,43,43,30,26,32,34,26,29,24,25,37,30,23,28,32,36,30,28,43,38,21,29,37,41,30,28,30,21,38,52,27,25,20,29,21,39,0,31,35,20,25,19,38,29,30,37,32,26,24,27,33,27,41,35,36,75,16,29,49,29,44,40,28,33,26,30,39,32,40,2,
th,21,37,44,33,36,31,33,27,44,26,86,35,51,45,41,31,31,27,29,49,29,25,29,28,26,45,25,24,38,24,16,39,47,40,18,52,46,33,33,42,26,31,38,26,27,22,33,47,32,46,44,32,39,37,28,28,44,45,28,34,27,31,31,42,39,42,32,42,30,41,31,0,33,16,33,36,50,34,35,40,44,46,31,25,31,21,49,38,35,52,26,36,46,31,60,35,26,34,25,37,30,27,46,6,
sl,34,39,51,46,36,36,75,54,38,27,54,26,63,48,64,35,29,34,42,62,46,43,55,30,62,43,45,28,60,24,23,38,48,40,44,46,46,42,41,43,26,39,35,35,59,49,60,43,42,48,45,33,38,71,36,45,40,48,35,63,36,37,35,63,33,53,55,54,54,44,35,33,0,21,30,28,54,48,20,53,33,50,91,34,52,30,51,93,128,54,34,32,51,35,63,37,47,49,34,46,37,45,47,30,
ky,10,13,17,21,31,15,30,22,21,17,17,9,27,26,26,21,13,15,14,42,20,13,20,23,22,28,47,19,36,14,32,25,27,13,17,23,12,12,19,24,12,18,16,21,14,30,49,33,34,15,18,25,17,37,16,34,18,27,27,19,13,17,21,26,27,33,58,18,50,17,20,16,21,0,33,32,36,16,13,35,18,33,48,20,20,17,18,21,18,28,15,18,37,35,31,20,23,26,15,21,19,13,20,2,
ar,16,31,32,35,21,28,34,27,23,22,35,25,39,29,36,26,20,29,23,39,29,25,34,26,25,27,27,17,40,16,15,37,40,25,15,40,25,28,28,33,17,26,27,26,32,32,43,46,25,32,32,23,23,40,23,30,34,40,19,35,31,18,26,35,39,27,47,24,36,25,25,33,30,33,0,26,40,27,25,32,26,33,37,31,39,22,39,34,28,32,28,30,34,34,43,29,37,31,28,27,35,28,34,0,
ml,18,27,25,30,58,24,25,34,38,25,37,25,35,44,48,23,17,18,26,48,19,22,28,36,24,42,36,32,53,25,31,43,57,33,18,42,32,22,19,54,16,17,42,21,20,65,78,37,27,38,37,43,22,47,18,27,25,49,27,27,23,26,23,37,51,71,54,17,69,41,19,36,28,32,26,0,62,18,28,60,50,67,36,32,22,23,31,39,27,34,23,42,55,60,51,44,24,41,18,45,29,23,39,17,
so,40,38,46,43,77,40,43,50,86,32,73,51,78,89,81,41,30,30,41,71,42,34,51,69,43,84,41,49,59,25,36,49,66,84,38,64,62,35,39,55,23,40,44,34,35,41,59,47,51,82,63,58,56,56,35,39,49,73,43,42,39,43,41,78,56,66,40,45,54,63,38,50,54,36,40,62,0,47,32,74,86,53,43,43,38,36,56,53,44,57,46,64,90,64,77,65,30,52,28,63,41,44,83,48,
ca,55,45,44,46,41,33,46,33,34,24,32,22,40,47,38,21,32,65,27,45,44,31,30,25,41,35,25,22,43,22,17,25,35,28,39,30,26,40,94,31,26,69,28,36,40,38,51,26,44,35,45,23,32,40,50,36,30,41,25,40,47,54,21,44,33,34,46,144,38,25,29,34,48,16,27,18,47,0,24,32,25,35,40,42,38,45,42,53,50,34,23,35,36,25,46,28,71,38,57,32,33,36,41,12,
ko,26,34,26,32,29,27,24,20,33,47,28,21,35,37,44,41,18,21,24,40,23,24,26,24,21,40,24,17,22,14,8,25,32,37,26,34,22,26,24,31,14,20,19,23,24,23,25,36,21,35,31,27,27,38,23,16,44,35,22,23,20,25,41,33,33,33,19,26,14,26,30,35,20,13,25,28,32,24,0,32,28,20,16,23,31,26,43,23,26,41,21,26,40,20,38,30,28,25,19,30,32,27,32,0,
ps,28,45,48,50,62,27,49,44,60,37,69,40,80,69,90,46,29,28,62,69,33,30,41,57,38,84,39,47,68,21,58,62,107,66,34,60,47,37,41,85,28,33,52,36,31,58,63,65,45,53,55,46,39,60,27,41,53,66,39,38,37,36,46,72,61,75,45,42,57,52,37,40,53,35,32,60,74,32,32,0,68,124,56,33,42,28,62,58,49,62,40,45,69,129,73,50,33,57,30,68,43,37,65,48,
hmn,27,24,42,33,75,35,31,28,61,26,65,48,72,77,63,33,15,26,49,42,22,25,31,45,25,63,23,61,49,27,41,38,54,69,24,43,41,20,28,43,33,22,33,22,25,42,53,38,29,82,66,24,43,39,21,25,45,62,27,30,31,34,33,55,51,51,34,27,50,63,32,44,33,18,26,50,86,25,28,68,0,43,25,24,28,18,47,36,29,40,35,35,55,46,71,58,19,40,20,42,26,22,67,26,
ur,30,42,44,42,39,36,35,40,39,26,64,25,65,62,59,41,30,34,41,59,35,30,44,37,40,52,36,37,61,23,46,61,98,44,20,68,36,27,33,84,21,26,66,34,36,51,56,56,35,43,42,45,38,60,31,34,39,53,39,29,33,32,41,61,68,72,55,41,61,35,26,46,50,33,33,67,53,35,20,124,43,0,52,39,38,23,50,56,43,59,33,51,45,134,60,41,35,47,34,69,32,31,46,34,
sr,25,45,36,39,28,26,82,40,27,26,37,12,54,35,41,27,25,37,32,56,35,33,35,25,35,28,79,28,59,21,34,37,39,34,30,32,28,37,35,41,22,30,36,35,46,53,86,41,35,31,37,34,27,55,38,41,34,44,23,58,31,29,27,48,36,39,71,45,79,26,24,31,91,48,37,36,43,40,16,56,25,52,0,35,40,33,35,77,150,40,33,28,40,41,48,33,36,49,40,41,38,34,30,16,
ro,32,51,44,46,33,21,37,52,23,27,28,25,34,33,45,25,28,45,21,39,50,28,26,25,45,28,33,20,38,23,17,29,29,31,31,30,24,31,58,24,21,40,20,31,37,48,44,35,35,31,25,23,32,39,36,38,34,35,25,45,42,30,25,27,35,30,36,58,42,23,27,25,34,20,31,32,43,42,23,33,24,39,35,0,41,36,44,36,35,36,19,33,34,31,38,33,51,38,54,25,35,49,36,7,
cs,32,50,42,50,33,27,52,50,28,27,41,24,38,42,42,42,40,37,38,43,41,43,47,22,46,32,69,23,44,22,16,31,38,35,35,27,32,47,35,28,33,38,20,45,49,42,35,36,36,37,37,23,37,47,49,53,31,48,28,47,40,25,42,45,37,31,33,42,26,25,33,31,52,20,39,22,38,38,31,42,28,38,40,41,0,31,53,46,50,46,32,30,41,24,48,32,38,40,41,28,57,44,33,10,
nl,26,42,38,46,30,26,40,35,22,22,21,23,28,32,30,31,23,30,25,30,38,50,32,20,43,30,19,22,40,16,17,21,27,25,49,24,28,38,36,28,19,32,19,36,49,35,30,26,37,32,23,20,33,38,41,36,36,29,19,35,34,27,31,31,33,28,41,45,29,21,27,21,30,17,22,23,36,45,26,28,18,23,33,36,31,0,37,34,31,35,23,28,27,24,30,28,37,29,37,24,36,35,31,1,
tr,31,54,38,48,42,33,52,34,40,33,46,25,43,49,64,44,30,38,41,72,45,37,40,32,30,49,38,34,41,22,22,36,55,43,31,39,30,39,45,44,27,32,34,42,39,36,42,60,47,49,31,39,32,60,48,35,43,60,30,47,44,39,44,62,53,43,28,47,31,31,41,49,51,18,39,31,56,42,43,62,47,50,35,44,53,37,0,46,44,64,27,37,43,38,52,38,44,80,44,37,52,60,39,20,
mk,35,39,53,56,44,40,71,58,32,29,51,25,49,52,65,35,30,41,32,55,55,38,40,35,51,37,40,29,68,22,18,33,45,35,30,43,40,46,48,43,30,44,33,37,43,54,70,40,38,39,40,30,35,76,46,59,29,49,28,80,37,38,35,52,35,49,64,53,53,30,35,38,93,21,34,39,53,53,23,58,36,56,77,36,46,34,46,0,101,49,36,30,41,32,63,36,47,54,45,38,39,49,45,29,
bs,28,51,52,46,32,32,74,59,33,26,40,19,47,38,52,31,34,41,46,52,44,41,34,22,41,35,32,30,56,19,18,34,41,40,34,36,42,44,46,32,31,39,28,37,48,41,61,36,38,40,40,25,39,63,42,50,35,50,26,70,34,37,31,52,32,44,40,56,49,32,36,35,128,18,28,27,44,50,26,49,29,43,150,35,50,31,44,101,0,51,29,27,42,29,62,34,46,49,40,42,42,48,41,21,
id,26,39,75,43,39,38,45,39,39,39,75,35,79,52,59,50,32,33,91,58,42,43,52,29,45,46,27,26,47,26,28,46,59,45,42,51,55,47,34,50,23,33,38,37,43,44,35,40,34,57,37,40,36,48,27,32,57,49,35,37,37,35,50,110,47,50,37,45,31,39,75,52,54,28,32,34,57,34,41,62,40,59,40,36,46,35,64,49,51,0,30,42,46,42,73,38,31,43,33,43,52,39,69,29,
ga,20,23,36,24,34,55,28,33,33,25,43,19,52,39,35,27,17,19,28,36,31,32,45,26,27,36,22,24,33,14,14,38,37,42,20,33,27,25,20,42,16,31,28,22,36,34,36,31,32,41,84,33,27,33,24,20,31,44,25,35,23,25,27,47,36,35,31,31,32,25,16,26,34,15,28,23,46,23,21,40,35,33,33,19,32,23,27,36,29,30,0,40,33,28,48,31,23,32,26,33,23,30,30,3,
ta,20,29,35,48,46,28,30,32,50,25,46,27,60,55,40,35,26,26,35,46,50,35,57,34,26,44,32,27,40,32,17,47,67,39,27,57,36,26,34,54,19,30,50,30,32,36,33,46,29,35,40,70,44,45,29,29,38,63,34,31,44,25,35,43,43,59,33,32,34,41,29,36,32,18,30,42,64,35,26,45,35,51,28,33,30,28,37,30,27,42,40,0,49,39,52,45,33,47,32,48,33,32,35,15,
zu,27,39,42,45,140,38,42,34,79,33,58,54,52,107,62,26,30,30,39,66,28,38,39,118,46,229,32,49,40,20,41,57,54,71,30,59,52,29,40,53,21,36,40,25,36,57,54,43,38,87,68,45,59,45,24,25,41,65,31,32,33,37,26,58,38,54,45,36,53,69,49,46,51,37,34,55,90,36,40,69,55,45,40,34,41,27,43,41,42,46,33,49,0,58,58,141,30,52,19,46,35,29,78,36,
sd,25,32,34,36,49,26,36,25,31,30,45,30,47,43,46,34,20,21,37,49,24,25,39,51,34,57,34,35,41,16,60,53,94,45,25,57,32,24,25,69,18,24,52,26,24,66,64,42,26,49,35,46,30,46,15,21,35,50,27,30,19,30,34,49,63,63,45,23,64,41,29,31,35,35,34,60,64,25,20,129,46,134,41,31,24,24,38,32,29,42,28,39,58,0,51,46,25,42,25,61,29,26,46,21,
mn,38,39,69,62,67,47,43,59,57,42,96,42,111,78,84,47,29,30,80,93,51,33,48,52,60,71,41,41,70,29,33,60,68,60,46,62,73,44,39,56,42,48,47,35,43,55,71,55,49,84,68,40,61,98,32,49,49,80,45,59,44,51,47,104,50,54,54,52,52,56,44,60,63,31,43,51,77,46,38,73,71,60,48,38,48,30,52,63,62,73,48,52,58,51,0,68,38,71,35,60,46,42,70,57,
st,22,38,43,36,133,29,34,36,73,26,46,54,48,100,60,23,24,25,35,58,29,35,37,115,40,109,25,60,35,27,30,44,56,72,36,49,42,22,25,43,32,39,39,20,30,36,43,31,33,85,61,26,43,45,15,23,37,74,31,29,30,29,23,41,33,48,38,36,39,81,40,35,37,20,29,44,65,28,30,50,58,41,33,33,32,28,38,36,34,38,31,45,141,46,68,0,18,45,22,41,25,21,80,21,
it,54,44,37,42,30,22,44,46,23,31,33,20,32,29,40,36,23,61,19,36,44,31,29,21,34,30,32,17,34,16,12,16,33,25,27,29,20,34,59,28,20,46,23,25,37,28,41,33,36,24,31,23,28,39,50,34,31,35,22,42,41,38,36,39,27,36,37,62,25,24,28,26,47,23,37,24,30,71,28,33,19,35,36,51,38,37,44,47,46,31,23,33,30,25,38,18,0,35,58,25,38,40,29,8,
az,28,38,34,58,49,35,47,51,38,25,40,30,45,56,75,32,35,36,27,129,38,36,45,38,40,41,35,36,74,13,26,30,61,34,35,46,28,32,34,47,29,46,47,34,42,47,68,60,34,48,41,39,33,97,34,51,37,45,29,55,40,39,32,48,43,60,48,41,54,36,33,34,49,26,31,41,52,38,25,57,40,47,49,38,40,29,80,54,49,43,32,47,52,42,71,45,35,0,41,57,40,41,36,21,
fr,43,46,55,39,15,25,41,41,25,21,34,17,34,26,37,25,31,55,26,30,43,34,35,19,37,23,30,20,32,21,12,20,34,23,29,18,20,43,49,25,15,44,22,34,43,26,35,29,26,23,31,17,36,37,43,36,27,38,21,38,41,36,25,30,29,27,35,63,29,19,26,25,34,15,28,18,28,57,19,30,20,34,40,54,41,37,44,45,40,33,26,32,19,25,35,22,58,41,0,24,36,42,31,6,
mr,31,30,48,31,54,33,40,30,40,23,58,28,85,63,59,42,23,27,46,64,28,28,48,41,26,45,31,26,45,17,25,40,107,38,22,100,39,28,24,115,18,21,95,25,34,48,52,40,32,49,42,53,32,53,21,32,43,62,34,31,30,26,42,67,73,97,40,31,52,36,30,37,46,21,27,45,63,32,30,68,42,69,41,25,28,24,37,38,42,43,33,48,46,61,60,41,25,57,24,0,33,28,57,25,
fi,22,53,28,50,28,20,49,38,32,28,32,23,29,34,45,39,38,38,26,42,36,37,39,19,34,29,36,21,36,20,18,35,44,27,33,37,35,56,40,34,25,31,34,53,44,40,30,32,39,40,26,40,30,46,51,38,31,39,27,46,36,25,39,42,41,48,32,40,29,27,39,30,37,19,35,29,41,33,32,43,26,32,38,35,57,36,52,39,42,52,23,33,35,29,46,25,38,40,36,33,0,44,30,8,
hu,23,49,44,42,26,28,49,43,20,26,30,19,29,37,55,32,34,37,32,53,47,32,42,20,32,30,27,19,39,17,13,32,36,34,21,30,23,36,29,32,21,30,20,38,44,35,37,36,40,33,32,32,39,48,39,29,32,36,22,49,38,25,32,41,28,37,30,44,31,23,32,27,45,13,28,23,44,36,27,37,22,31,34,49,44,35,60,49,48,39,30,32,29,26,42,21,40,41,42,28,44,0,32,3,
mg,43,42,81,51,81,40,38,38,65,32,84,63,114,77,61,35,28,34,69,52,36,40,55,61,49,68,32,43,49,29,32,44,46,64,34,67,58,39,42,60,35,36,32,23,28,40,41,46,36,85,48,34,63,47,23,27,57,61,39,33,34,53,35,86,39,55,36,41,32,64,40,46,47,20,34,39,83,41,32,65,67,46,30,36,33,31,39,45,41,69,30,35,78,46,70,80,29,36,31,57,30,32,0,34,
