1	163
2	163
3	165
4	174
5	178
6	179
7	182
8	185
9	189
10	190
11	190
12	191
13	191
14	195
15	197
16	201
17	206
18	208
19	209
20	210
21	214
22	215
23	219
24	223
25	223
26	224
27	227
28	233
29	234
30	237
31	238
32	239
33	240
34	242
35	254
36	254
37	259
38	260
39	269
40	269
41	272
42	281
43	281
44	282
45	287
46	289
47	293
48	293
49	294
50	301
51	303
52	304
53	308
54	311
55	313
56	314
57	324
58	328
59	331
60	333
61	338
62	341
63	346
64	347
65	352
66	358
67	358
68	364
69	364
70	378
71	380
72	382
73	383
74	389
75	401
76	402
77	405
78	405
79	407
80	417
81	420
82	426
83	427
84	432
85	442
86	453
87	460
88	479
89	500
90	501
91	509
92	511
93	515
94	517
95	517
96	553
97	560
98	562
99	588
100	645
101	653
102	771
103	822
