-,lb,my,mi,cy,ny,ceb,hu,no,ku,ha,pa,fi,hi,ca,eu,lv,ig,sl,ja,af,mk,yo,sd,sw,da,iw,uz,it,ka,fr,si,ht,lt,kn,gd,vi,mt,hmn,ms,gl,hy,st,sr,su,co,gu,yi,tg,hr,ro,fa,fy,is,so,sv,ta,la,ga,id,be,ru,am,az,ne,tr,zu,tl,mg,haw,eo,es,lo,sk,mn,zh-CN,zh-TW,el,sq,sn,jw,sm,et,bn,pl,cs,ps,ar,uk,mr,ky,ur,km,nl,xh,kk,de,bg,te,bs,ko,th,pt,ml,
tg,41,22,35,29,35,32,33,19,27,33,33,29,28,26,28,35,29,34,23,22,39,28,31,51,25,24,58,24,34,24,29,39,48,30,39,30,30,45,41,28,40,41,22,25,27,32,17,0,27,28,33,30,26,61,26,23,12,20,38,35,37,40,44,48,36,42,22,45,31,30,28,43,20,59,29,29,30,34,31,30,37,29,33,19,24,55,25,38,34,15,37,38,18,50,51,21,37,25,29,27,29,25,30,
hr,24,14,20,12,16,19,25,19,13,24,23,28,17,28,18,30,17,36,12,24,37,10,26,17,24,25,27,22,27,25,20,24,33,23,21,19,22,21,23,25,27,22,46,20,13,17,19,27,0,23,18,22,20,28,25,19,16,15,26,34,26,24,28,27,26,25,21,22,24,24,29,21,21,28,17,17,22,26,15,15,22,22,24,26,27,30,20,31,24,19,20,26,26,21,33,29,33,14,43,12,20,24,15,
ro,31,12,22,14,23,20,32,11,15,16,16,22,26,27,19,27,17,19,17,18,19,17,23,22,23,24,25,28,37,35,24,33,31,18,16,23,28,21,16,38,22,23,22,20,20,13,17,28,23,0,22,23,13,33,18,23,15,13,26,24,21,24,23,20,30,20,16,23,15,24,37,17,17,25,16,16,34,31,12,12,20,31,22,21,21,22,23,29,17,15,28,26,25,18,22,26,23,14,18,14,20,29,22,
fa,17,18,24,15,19,18,17,11,18,30,27,20,36,14,15,31,31,24,18,15,22,21,26,23,18,23,38,18,22,14,26,22,37,28,23,22,17,20,30,24,28,20,20,20,19,20,17,33,18,22,0,15,23,28,14,23,12,14,23,19,18,28,34,40,31,29,13,29,19,18,15,29,23,35,22,22,29,22,20,21,26,26,30,14,20,41,34,20,22,26,40,33,14,26,29,21,23,22,17,20,27,17,24,
fy,35,13,18,19,27,20,11,25,20,20,14,22,14,24,13,13,22,27,10,25,18,20,17,27,20,18,21,15,20,19,15,25,22,18,20,16,20,20,19,19,19,27,15,29,19,11,14,30,22,23,15,0,16,23,18,15,12,11,28,31,13,29,20,20,19,20,13,21,10,23,19,17,15,33,15,15,28,29,23,18,18,11,19,11,22,22,11,27,15,11,11,21,30,24,22,27,24,12,21,15,9,18,12,
is,25,21,23,25,22,30,21,19,12,31,29,24,25,16,20,19,27,28,14,23,22,21,26,28,22,25,30,14,25,19,20,27,21,27,31,19,32,21,32,19,24,25,20,25,16,21,16,26,20,13,23,16,0,31,23,39,12,29,29,30,16,26,24,31,22,23,21,32,17,18,14,30,23,28,21,21,24,26,12,22,32,22,32,23,26,26,19,21,22,13,25,34,16,21,32,26,23,27,16,17,16,11,17,
so,30,25,51,29,44,32,27,18,27,55,36,28,38,34,29,32,44,34,21,22,35,31,43,62,24,29,50,17,31,20,29,32,42,41,40,29,27,63,53,30,43,42,32,29,29,31,15,61,28,33,28,23,31,0,19,36,14,28,34,28,24,44,32,44,32,57,38,56,33,27,26,44,28,50,23,23,22,28,49,26,51,37,42,19,23,46,23,30,41,22,35,49,17,57,37,21,30,33,27,20,26,20,40,
sv,21,7,16,17,16,18,22,31,7,15,26,30,18,20,12,16,17,21,13,15,24,11,14,19,39,16,23,16,17,22,19,28,10,20,15,14,24,16,24,16,20,14,15,17,12,14,22,26,25,18,14,18,23,19,0,15,9,11,29,26,20,21,19,20,21,18,15,24,13,20,16,25,13,25,13,13,21,19,12,19,17,14,22,22,21,23,16,25,19,7,17,25,16,18,21,18,19,13,25,14,21,13,13,
ta,17,19,26,20,32,29,16,14,9,33,31,20,25,21,18,20,29,16,18,22,18,19,24,34,18,19,32,18,21,21,31,22,22,28,23,22,24,22,23,18,23,37,18,26,13,32,14,23,19,23,23,15,39,36,15,0,22,24,26,30,14,39,28,42,20,35,20,22,21,18,20,29,15,31,20,20,19,30,20,18,24,19,33,17,20,26,19,19,28,11,31,38,16,31,28,19,21,38,16,16,19,17,26,
la,14,5,16,8,18,15,9,11,13,16,15,12,16,14,13,15,14,11,9,16,12,9,9,19,12,7,8,9,19,14,19,15,12,12,14,12,14,17,13,13,14,19,11,16,9,10,12,12,16,15,12,12,12,14,9,22,0,9,16,16,11,15,6,15,8,10,15,17,14,11,12,11,16,17,8,8,11,15,13,14,24,17,12,11,11,13,12,10,10,8,12,16,9,19,13,14,13,14,8,10,15,6,12,
ga,19,14,28,27,20,16,12,7,7,20,28,13,16,11,13,20,17,18,16,21,19,10,14,22,11,20,19,13,21,14,18,18,23,16,51,16,14,23,26,17,18,22,19,12,14,18,9,20,15,13,14,11,29,28,11,24,9,0,16,12,11,27,16,22,16,18,15,17,18,17,12,22,12,26,15,15,11,18,11,15,23,17,20,13,18,26,17,20,20,10,19,27,10,25,17,17,19,15,19,10,9,12,13,
id,34,15,31,21,25,22,22,21,15,25,34,30,27,21,22,26,27,37,24,25,30,24,28,32,24,22,36,19,31,22,28,53,23,32,25,35,22,26,65,27,28,25,23,47,17,27,17,38,26,26,23,28,29,34,29,26,16,16,0,24,17,25,30,38,36,30,33,51,19,21,19,52,17,46,26,26,23,26,16,54,40,19,30,13,28,36,20,27,24,19,35,50,18,31,33,28,23,28,28,24,30,23,23,
be,21,20,32,13,29,29,22,24,14,25,22,32,31,24,17,29,27,19,16,31,29,14,25,36,22,20,44,24,38,21,22,22,36,22,27,19,38,24,26,24,42,28,24,31,24,20,19,35,34,24,19,31,30,28,26,30,16,12,24,0,60,27,32,26,25,28,18,32,22,24,23,19,27,41,17,17,31,35,18,17,27,23,29,27,32,33,22,52,17,16,26,26,22,20,40,25,34,18,25,22,19,20,15,
ru,22,12,16,15,18,15,13,13,11,17,19,20,24,19,13,32,18,21,13,17,31,15,14,26,21,14,31,17,25,20,19,15,37,19,26,11,15,18,20,19,29,18,24,19,11,17,18,37,26,21,18,13,16,24,20,14,11,11,17,60,0,21,31,24,16,15,16,16,17,26,22,12,26,28,17,17,22,24,13,10,13,21,20,26,28,22,18,45,19,27,19,19,18,18,36,21,37,15,26,8,17,18,13,
am,32,22,41,24,40,35,18,24,20,24,39,25,37,28,15,32,38,30,22,20,32,35,31,48,28,19,38,20,26,24,29,27,31,35,30,26,30,37,29,25,33,52,29,27,22,33,25,40,24,24,28,29,26,44,21,39,15,27,25,27,21,0,27,41,31,42,29,38,39,28,30,38,23,54,23,23,30,29,35,15,40,24,29,23,27,38,27,29,31,17,32,52,18,47,35,27,31,26,29,21,24,23,27,
az,27,19,20,22,32,19,22,16,19,20,30,29,26,22,26,32,22,25,12,22,34,23,26,33,21,20,78,18,28,26,16,21,45,39,22,22,22,27,24,23,42,28,28,22,19,32,23,44,28,23,34,20,24,32,19,28,6,16,30,32,31,27,0,43,46,29,11,26,24,32,21,22,21,40,16,16,22,21,23,12,26,33,31,18,20,36,17,30,32,17,30,24,16,28,54,24,27,21,27,16,22,21,28,
ne,26,19,35,23,36,24,24,16,39,34,72,26,64,23,25,36,36,29,20,22,24,23,64,48,27,16,45,20,39,20,33,30,50,48,28,29,22,38,48,22,40,40,25,26,18,54,19,48,27,20,40,20,31,44,20,42,15,22,38,26,24,41,43,0,34,38,32,36,25,25,21,42,22,44,29,29,19,25,36,29,36,43,65,14,21,80,26,26,62,21,61,48,15,42,37,29,24,33,21,22,25,19,38,
tr,21,15,23,16,28,18,26,14,12,22,25,28,32,24,25,17,24,26,19,23,22,18,27,24,27,20,41,25,24,25,22,25,26,23,19,26,25,32,29,26,16,26,21,27,20,22,16,36,26,30,31,19,22,32,21,20,8,16,36,25,16,31,46,34,0,24,18,27,20,18,28,22,17,26,22,22,31,25,21,18,30,21,23,20,27,39,22,19,21,10,32,25,22,28,33,20,27,23,23,22,28,26,22,
zu,36,17,44,25,89,31,15,18,27,45,35,25,25,22,22,39,45,32,23,20,27,36,41,73,16,22,41,21,40,8,33,24,42,34,44,19,22,32,32,22,28,97,27,34,19,26,17,42,25,20,29,20,23,57,18,35,10,18,30,28,15,42,29,38,24,0,33,45,37,22,24,34,17,38,15,15,20,15,79,21,56,38,38,11,26,47,20,24,26,30,35,32,16,134,31,24,21,26,24,25,24,15,36,
tl,22,13,35,21,30,46,11,11,12,30,31,22,23,16,14,18,32,21,15,20,19,21,22,34,16,14,23,11,21,12,28,34,24,26,32,18,19,23,42,25,18,28,13,16,17,20,19,22,21,16,13,13,21,38,15,20,15,15,33,18,16,29,11,32,18,33,0,39,26,18,16,37,10,41,21,21,16,16,24,23,39,12,34,13,16,30,13,16,21,8,22,48,14,30,27,14,21,18,19,13,21,8,16,
mg,34,19,39,23,48,43,22,17,23,41,45,20,27,28,29,26,48,29,20,22,32,46,32,51,15,20,38,20,30,20,30,57,34,37,36,33,23,44,59,26,28,51,18,25,32,25,25,45,22,23,29,21,32,56,24,22,17,17,51,32,16,38,26,36,27,45,39,0,31,22,26,64,17,46,23,23,26,24,38,49,53,21,44,14,20,44,17,26,43,12,34,79,16,46,33,20,22,19,21,17,26,22,28,
haw,22,12,78,13,45,23,10,12,21,36,26,15,28,15,14,29,40,19,12,17,18,33,27,34,13,11,30,11,24,11,17,17,30,22,38,23,17,38,26,18,22,47,22,19,17,24,18,31,24,15,19,10,17,33,13,21,14,18,19,22,17,39,24,25,20,37,26,31,0,18,12,24,21,25,14,14,14,14,37,19,51,25,25,8,15,32,14,17,19,12,24,29,12,38,22,13,15,14,22,14,17,13,21,
eo,29,14,19,19,27,22,16,14,11,21,19,21,21,41,28,27,24,23,13,18,26,13,17,21,18,21,27,27,24,30,14,26,30,16,26,18,22,18,17,47,23,30,21,17,28,12,26,30,24,24,18,23,18,27,20,18,11,17,21,24,26,28,32,25,18,22,18,22,18,0,37,18,12,32,18,18,28,22,20,12,18,13,11,15,26,24,15,26,12,12,16,22,18,25,28,26,29,15,27,13,18,37,10,
es,30,13,11,15,16,22,17,13,10,16,12,22,13,60,30,21,14,25,17,15,29,10,17,17,18,23,30,40,18,27,13,29,32,17,19,17,23,20,15,61,23,20,23,18,29,11,14,28,29,37,15,19,14,26,16,20,12,12,19,23,22,30,21,21,28,24,16,26,12,37,0,17,12,28,18,18,30,28,15,14,19,18,13,21,20,28,18,23,16,10,20,20,20,22,22,27,27,8,31,12,20,49,12,
lo,39,24,37,26,40,41,16,12,26,25,50,17,24,20,24,29,32,33,17,17,27,20,29,45,14,17,35,18,18,18,29,55,27,33,36,32,30,42,71,23,28,28,22,30,27,30,19,43,21,17,29,17,30,44,25,29,11,22,52,19,12,38,22,42,22,34,37,64,24,18,17,0,21,64,21,21,21,21,27,45,53,16,51,8,21,42,20,19,40,10,37,112,9,34,41,21,17,19,26,14,49,18,21,
sk,16,19,16,9,20,20,12,13,18,18,22,22,23,14,12,49,19,21,14,18,24,12,25,19,13,20,24,15,33,19,22,14,54,29,16,12,18,14,22,13,26,20,57,22,18,14,14,20,21,17,23,15,23,28,13,15,16,12,17,27,26,23,21,22,17,17,10,17,21,12,12,21,0,19,18,18,19,23,24,14,19,44,21,15,34,28,18,18,22,36,24,23,12,20,19,15,14,19,16,13,14,12,26,
mn,43,27,43,28,44,42,23,19,24,32,33,33,28,28,33,38,43,39,27,22,38,31,33,50,25,28,58,23,32,19,38,45,41,25,42,31,29,48,69,33,41,45,24,31,26,29,31,59,28,25,35,33,28,50,25,31,17,26,46,41,28,54,40,44,26,38,41,46,25,32,28,64,19,0,26,26,23,36,34,51,55,31,42,20,30,48,27,39,34,19,37,67,16,49,57,26,37,19,38,26,36,19,31,
zh-CN,15,18,21,17,15,15,15,10,14,18,26,22,18,12,17,15,16,19,30,20,17,15,22,14,20,21,26,17,18,17,15,25,22,21,25,29,16,19,22,17,13,14,17,26,13,24,11,29,17,16,22,15,21,23,13,20,8,15,26,17,17,23,16,29,22,15,21,23,14,18,18,21,18,26,0,269,21,17,13,23,18,19,31,15,29,30,18,19,25,13,26,37,17,18,27,27,15,17,16,16,19,14,11,
zh-TW,15,18,21,17,15,15,15,10,14,18,26,22,18,12,17,15,16,19,30,20,17,15,22,14,20,21,26,17,18,17,15,25,22,21,25,29,16,19,22,17,13,14,17,26,13,24,11,29,17,16,22,15,21,23,13,20,8,15,26,17,17,23,16,29,22,15,21,23,14,18,18,21,18,26,269,0,21,17,13,23,18,19,31,15,29,30,18,19,25,13,26,37,17,18,27,27,15,17,16,16,19,14,11,
el,23,16,24,15,17,25,26,20,8,19,17,31,26,27,18,18,18,18,13,24,19,23,17,23,24,27,29,25,19,24,16,22,26,20,19,21,27,15,19,30,24,26,20,21,15,11,18,30,22,34,29,28,24,22,21,19,11,11,23,31,22,30,22,19,31,20,16,26,14,28,30,21,19,23,21,21,0,30,17,15,24,19,18,21,25,26,22,28,20,6,25,21,27,22,26,19,25,19,24,21,23,27,13,
sq,24,18,21,18,21,32,21,18,8,20,13,21,23,27,19,22,17,24,13,24,27,15,17,24,16,21,35,25,25,29,18,29,24,20,21,16,40,17,25,31,25,21,19,31,23,12,14,34,26,31,22,29,26,28,19,30,15,18,26,35,24,29,21,25,25,15,16,24,14,22,28,21,23,36,17,17,30,0,11,13,26,22,30,25,24,22,18,28,17,16,21,27,20,25,30,22,29,18,23,17,16,22,9,
sn,27,16,36,17,100,17,10,12,22,32,27,12,21,15,19,27,36,16,19,12,20,24,39,61,13,15,28,12,21,11,32,21,37,28,25,22,13,28,26,13,20,77,19,16,18,20,15,31,15,12,20,23,12,49,12,20,13,11,16,18,13,35,23,36,21,79,24,38,37,20,15,27,24,34,13,13,17,11,0,23,38,35,25,4,11,42,16,17,25,18,27,28,10,86,33,17,15,20,13,13,17,6,22,
jw,31,14,33,22,31,21,18,11,12,28,28,14,12,16,20,24,28,27,16,15,16,20,19,31,17,14,27,7,15,12,20,40,20,20,24,27,16,31,75,15,13,25,13,27,17,20,16,30,15,12,21,18,22,26,19,18,14,15,54,17,10,15,12,29,18,21,23,49,19,12,14,45,14,51,23,23,15,13,23,0,38,22,28,8,24,32,16,19,29,9,19,48,15,29,23,22,11,10,22,15,16,11,12,
sm,30,17,71,24,60,30,20,13,25,46,31,31,35,23,26,22,61,24,22,21,18,44,35,55,16,21,34,15,23,14,34,40,28,30,51,23,22,54,44,32,23,59,16,23,23,27,19,37,22,20,26,18,32,51,17,24,24,23,40,27,13,40,26,36,30,56,39,53,51,18,19,53,19,55,18,18,24,26,38,38,0,27,36,14,22,38,20,20,25,8,27,77,18,51,31,23,21,20,22,19,26,14,23,
et,30,21,21,19,31,13,18,16,39,19,29,20,39,21,28,124,22,33,21,17,30,18,48,31,19,29,46,17,58,15,42,22,139,47,14,16,13,39,25,25,49,28,59,14,17,26,13,29,22,31,26,11,22,37,14,19,17,17,19,23,21,24,33,43,21,38,12,21,25,13,18,16,44,31,19,19,19,22,35,22,27,0,33,13,16,42,24,26,36,37,49,25,15,32,40,17,18,23,28,6,17,10,49,
bn,22,23,34,30,38,25,17,16,25,31,57,22,41,19,19,33,36,28,16,18,27,31,37,36,16,17,40,14,35,13,27,36,41,41,28,25,16,32,42,17,33,32,24,27,19,47,19,33,24,22,30,19,32,42,22,33,12,20,30,29,20,29,31,65,23,38,34,44,25,11,13,51,21,42,31,31,18,30,25,28,36,33,0,15,17,40,24,24,65,11,41,56,14,37,34,18,24,21,23,20,30,13,27,
pl,19,10,11,12,11,16,16,20,6,10,10,23,16,22,11,17,9,17,10,16,23,9,7,12,25,14,24,27,15,25,13,16,28,10,14,13,22,14,15,21,17,9,20,13,12,4,17,19,26,21,14,11,23,19,22,17,11,13,13,27,26,23,18,14,20,11,13,14,8,15,21,8,15,20,15,15,21,25,4,8,14,13,15,0,23,13,15,27,6,11,11,15,17,11,21,23,24,7,25,13,14,22,9,
cs,26,12,24,13,22,19,22,17,8,19,16,35,22,22,14,23,20,26,18,25,23,17,16,25,20,18,19,22,25,27,17,26,21,17,24,21,25,19,21,26,20,21,20,21,19,10,22,24,27,21,20,22,26,23,21,20,11,18,28,32,28,27,20,21,27,26,16,20,15,26,20,21,34,30,29,29,25,24,11,24,22,16,17,23,0,26,23,30,13,12,20,20,17,19,22,26,27,12,29,20,17,24,13,
ps,27,23,42,11,40,25,23,13,40,35,57,31,38,20,24,34,38,34,22,18,39,31,88,37,22,25,47,20,41,20,43,32,47,53,35,36,24,47,45,28,45,37,38,26,22,36,22,55,30,22,41,22,26,46,23,26,13,26,36,33,22,38,36,80,39,47,30,44,32,24,28,42,28,48,30,30,26,22,42,32,38,42,40,13,26,0,20,27,44,23,75,52,17,56,43,18,27,33,26,19,20,18,39,
ar,14,10,13,19,15,14,19,9,13,16,22,23,25,16,8,34,21,19,15,13,22,15,23,18,17,13,27,26,22,22,26,21,28,15,20,23,23,19,23,16,22,24,27,12,10,18,9,25,20,23,34,11,19,23,16,19,12,17,20,22,18,27,17,26,22,20,13,17,14,15,18,20,18,27,18,18,22,18,16,16,20,24,24,15,23,20,0,16,13,26,23,23,11,19,25,21,22,14,15,18,21,21,22,
uk,31,13,25,21,30,20,25,21,11,25,14,25,22,21,18,31,19,30,17,24,32,17,18,29,28,21,32,25,36,24,17,26,34,24,20,20,20,19,25,25,32,29,23,24,16,15,24,38,31,29,20,27,21,30,25,19,10,20,27,52,45,29,30,26,19,24,16,26,17,26,23,19,18,39,19,19,28,28,17,19,20,26,24,27,30,27,16,0,19,12,27,27,19,27,40,22,40,11,32,14,18,22,19,
mr,18,21,24,20,34,16,15,16,16,28,73,19,35,18,16,33,23,25,12,13,22,19,39,34,17,16,38,11,29,15,21,30,34,52,25,21,14,25,38,18,27,27,25,22,16,53,12,34,24,17,22,15,22,41,19,28,10,20,24,17,19,31,32,62,21,26,21,43,19,12,16,40,22,34,25,25,20,17,25,29,25,36,65,6,13,44,13,19,0,15,44,51,13,29,32,21,20,31,25,15,22,14,29,
ky,16,15,8,9,24,9,8,9,26,13,13,16,22,8,13,42,13,15,14,7,13,9,27,20,14,23,32,11,19,12,16,8,32,22,12,8,8,12,15,10,19,15,42,15,7,11,8,15,19,15,26,11,13,22,7,11,8,10,19,16,27,17,17,21,10,30,8,12,12,12,10,10,36,19,13,13,6,16,18,9,8,37,11,11,12,23,26,12,15,0,22,16,8,22,23,9,13,17,9,7,11,8,21,
